UPI_Age_Days,Transaction_Amount,Transaction_Time,Transactions_Last_24Hrs,Failed_Transactions,New_Recipient,Device_Changed,Location_Changed,Multiple_UPI_Apps,Linked_Bank_Count,Fraud_Reported,Account_Verified,Fraud
3175,15805,14,42,7,0,0,0,0,5,0,1,1
1686,779,23,43,13,0,0,0,0,5,0,1,1
1083,18952,9,27,11,0,0,0,0,4,0,0,1
647,30750,8,38,1,1,1,0,0,5,0,1,1
3004,48565,7,46,2,1,0,0,0,2,0,0,0
2450,6883,11,33,9,1,0,1,0,4,0,1,1
2768,24310,17,46,4,0,1,0,0,5,0,0,0
2569,2037,7,23,14,1,0,0,0,5,0,1,1
3100,22672,8,7,11,0,0,0,0,3,0,1,1
1571,5066,2,36,14,1,0,0,0,3,0,1,1
3626,23429,12,50,14,1,0,0,0,5,0,1,1
3243,33837,12,31,6,0,0,1,1,1,0,1,0
1644,3637,19,29,13,0,0,1,0,1,0,1,1
2681,27261,12,40,2,0,0,0,0,3,0,1,1
3446,30313,23,40,3,0,1,1,0,2,0,1,0
3000,27738,16,1,1,0,0,0,0,2,0,1,1
1734,21929,22,3,6,1,0,0,0,4,1,1,0
3583,15097,15,32,8,0,0,0,0,3,0,1,1
1535,41116,19,31,6,0,0,0,1,1,0,1,1
1970,47264,9,34,6,0,0,0,0,2,1,1,0
453,29865,22,8,8,0,0,1,1,1,0,0,0
1444,42415,7,19,13,0,0,0,0,2,0,1,1
957,46770,3,32,3,0,0,0,0,3,0,1,1
460,41924,18,21,6,0,0,1,0,3,0,1,0
2332,39800,0,4,11,1,0,0,0,1,1,1,0
1070,36222,5,34,11,0,1,0,1,3,1,0,0
2301,35753,22,32,15,0,0,0,1,3,0,0,0
3360,4024,21,22,1,0,0,0,1,1,0,1,1
1501,5811,22,25,2,0,0,0,0,4,0,1,1
2560,40951,15,13,11,1,0,0,0,3,0,1,1
1149,22687,21,48,3,0,0,0,0,5,0,1,1
1127,21709,5,44,15,0,0,0,0,5,1,1,0
1683,21146,23,18,11,1,0,0,0,1,0,0,0
634,16906,14,33,15,0,0,0,0,5,0,1,1
2838,8140,11,25,15,0,0,0,0,1,0,1,1
453,29909,15,25,9,0,0,0,0,2,0,1,1
2850,40168,9,18,9,0,0,0,0,2,0,1,1
3547,861,23,11,1,0,0,0,1,4,0,1,1
1067,24117,12,11,14,0,0,0,0,2,0,1,1
1626,11271,1,50,8,0,0,0,1,4,0,1,1
676,44435,4,8,7,1,1,0,0,5,0,1,0
2327,47330,2,40,13,1,0,0,0,3,0,0,0
2493,7410,18,11,8,0,1,1,0,5,0,1,1
2996,11140,20,35,4,1,0,0,0,2,0,1,1
235,24404,17,46,11,0,0,1,1,5,0,1,0
2843,19075,1,4,12,0,1,0,0,4,0,1,1
1325,25741,3,5,11,0,0,0,0,2,0,1,1
173,4758,17,27,13,0,0,0,0,1,0,1,1
505,33992,16,24,7,0,0,0,1,5,0,1,1
2934,27870,10,36,3,0,1,0,0,1,0,1,1
2704,41440,10,11,9,1,1,0,0,2,0,1,1
2746,40261,17,27,11,0,0,0,0,1,0,1,1
2780,31481,12,45,2,1,1,0,0,2,0,1,1
3323,29558,4,32,5,1,1,0,0,1,1,1,0
1485,20394,1,40,2,0,0,0,0,5,1,1,0
1461,23584,4,36,9,1,0,0,0,3,0,1,0
449,37754,7,31,1,0,0,0,0,3,0,1,1
1078,8437,4,29,13,1,0,0,0,5,0,1,1
435,15791,1,37,1,0,0,0,1,4,0,1,1
1359,4647,22,41,2,0,0,0,1,1,0,1,1
2594,7951,20,1,12,0,0,0,0,3,0,1,1
360,42689,2,31,2,0,1,0,0,5,0,1,1
2582,13726,5,0,4,0,0,0,0,5,0,0,1
